#Org ,PROG,  Àrea,Econ ,   CAP,Descripció ,PREVISIÓN INICIAL 2018,PREVISIÓN INICIAL 2019
SG1,9202.0,9.0,1300001.0,1.0,BASIQUES LAB.-SERVEIS JURÍDICS......,83281.0,90142.0
SG1,9203.0,9.0,1300001.0,1.0,BASIQUES LAB.- CONTRACTACIÓ.,14729.0,14339.0
SG1,9205.0,9.0,1300001.0,1.0,BASIQUES LAB.- REC. HUMANS ...,98885.0,104339.0
SG4,9206.0,9.0,1300001.0,1.0,BASIQUES LAB.- INFORMATICA ....,32249.0,29922.0
SG1,9250.0,9.0,1300001.0,1.0,BASIQUES LAB.- OFICINA ATENCIÓ AL CIUTADÀ,100074.0,105370.0
SG4,9311.0,9.0,1300001.0,1.0,BASIQUES LAB.- INTERVENCIO ...,44491.0,47934.0
SG4,9340.0,9.0,1300001.0,1.0,BASIQUES LAB.- GESTIÓ TRIBUTÀRIA I RECAPTACIÓ,67214.0,71011.0
SG1,9203.0,9.0,1300101.0,1.0,COMPLEM. LAB.- CONTRACTACIÓ..,7343.0,9275.0
SG1,9205.0,9.0,1300101.0,1.0,HORES EXTRAORDINÀRIES /SERV. EXTRAORD.. RR.HH.,65975.0,65975.0
SG5,1300.0,1.0,1300201.0,1.0,COMPLEM. LAB.- POLICIA .......,7261.0,8104.0
CM2,1511.0,1.0,1300201.0,1.0,COMPLEM. LAB.- URBANISME .....,106088.0,113241.0
CM1,1512.0,1.0,1300201.0,1.0,COMPLEM. LAB.-  OBRA PUBLICA,0.0,107990.0
CM2,1512.0,1.0,1300201.0,1.0,COMPLEM. LAB.-  OBRA PUBLICA,41208.0,0.0
CM1,1532.0,1.0,1300201.0,1.0,COMPLEM. LAB.- VIES PUBLIQUES..,44834.0,53942.0
CM1,1650.0,1.0,1300201.0,1.0,COMPLEM. LAB.- ENLLUMENAT .....,54237.0,56677.0
CM1,1710.0,1.0,1300201.0,1.0,COMPLEM. LAB.- PARCS I JARD.,47608.0,53629.0
CM1,1711.0,1.0,1300201.0,1.0,COMPLEM. LAB.- SERVEIS COMUNS MICROCIUTA,118191.0,135278.0
CM6,1721.0,1.0,1300201.0,1.0,COMPLEM. LAB.- MEDI AMBIENT,22219.0,24415.0
SP1,2310.0,2.0,1300201.0,1.0,COMPLEM. LAB.- ATENCIÓ PRIMÀRIA,192122.0,202928.0
SP1,2311.0,2.0,1300201.0,1.0,COMPLEM. LAB.- RGA,798409.0,853901.0
SG8,2410.0,2.0,1300201.0,1.0,COMPLEM. LAB.- FORMACIÒ.,7275.0,9575.0
SP1,3110.0,3.0,1300201.0,1.0,COMPLEM. LAB.-SANITAT .......,0.0,11573.0
SP1,3230.0,3.0,1300201.0,1.0,COMPLEM. LAB.- EDUCACIO......,96388.0,108658.0
SP1,3260.0,3.0,1300201.0,1.0,COMPLEM. LAB.- ESCOLES MPALS.,36887.0,37463.0
SP3,3322.0,3.0,1300201.0,1.0,COMPLEM. LAB.- ARXIU I PATR.,22939.0,29657.0
SP3,3340.0,3.0,1300201.0,1.0,COMPLEM. LAB.- CULTURA .......,38002.0,52424.0
SP3,3370.0,3.0,1300201.0,1.0,COMPLEMEN. LAB.- JOVENTUT,27171.0,0.0
SP3,3400.0,3.0,1300201.0,1.0,COMPLEM. LAB.- ESPORTS ......,182935.0,184659.0
SG8,4310.0,4.0,1300201.0,1.0,COMPLEM. LAB.-COMERÇ,7275.0,9275.0
SG8,4312.0,4.0,1300201.0,1.0,COMPLEM. LAB.-PROM. ECONOM.,23999.0,19150.0
SG8,4330.0,4.0,1300201.0,1.0,COMPLEM. LAB.-ACTIVITATS,25367.0,26220.0
SG1,9120.0,9.0,1300201.0,1.0,COMPLEM. LAB.-ALCALDIA,38121.0,40508.0
SG1,9202.0,9.0,1300201.0,1.0,COMPLEM. LAB.-SERVEIS JURÍDICS ....,53006.0,63442.0
SG1,9205.0,9.0,1300201.0,1.0,COMPLEM. LAB.- REC. HUMANS...,104756.0,71968.0
SG4,9206.0,9.0,1300201.0,1.0,COMPLEM. LAB.- INFORMATICA....,30864.0,35189.0
SG1,9250.0,9.0,1300201.0,1.0,COMPLEM. LAB.- OFICINA ATENCIÓ AL CIUTADÀ,60072.0,73255.0
SG4,9311.0,9.0,1300201.0,1.0,COMPLEM. LAB.- INTERVENCIO...,33523.0,46018.0
